"Year" "k" "L_inf" "W_inf" "a" "b"
"1" 1991 NA NA NA NA NA
"2" 1992 0.518568493682065 162.239318791587 23.9383775202956 0.000255107969792589 2.24978256212662
"3" 1993 NA NA NA NA NA
"4" 1994 0.430947741970301 158.578622897441 22.7495137333129 4.10108179372907e-05 2.61065227797104
"5" 1995 0.510194 153.0745 20.8573667324007 0.000109011466414165 2.41740144038386
"6" 1996 0.41191328204626 156.806957409241 18.2690705610719 0.000110621217115938 2.37676980404261
"7" 1997 NA NA NA NA NA
"8" 1998 0.431336524822974 154.112702110853 16.606274976994 0.000227254995253673 2.22308864707801
"9" 1999 0.372753796829235 154.424117753161 19.4783893391878 9.75926588541725e-05 2.42157411090289
"10" 2000 0.36029576762352 156.724023061435 20.9677575834566 0.000177763763203629 2.31043076224799
