ID,ICESNAME,SOUTH,WEST,NORTH,EAST,AREA_KM2,OBJECTID,ICESNAME_1,Ecoregion,AREA,PERCENTAGE,OBJECTID_1,ICESNAME_2,Shape_STAr,Shape_STLe,Longitude,Latitude
"209",13A2,42.00000,-42.00000,42.50000,-41.00000,"4583","1044",13A2,Oceanic Northeast Atlantic,0.49999999,99.99999805,"0",13A2,0.49999999980,2.99999999940,-41.500,42.250
"210",14A2,42.50000,-42.00000,43.00000,-41.00000,"4547","1132",14A2,Oceanic Northeast Atlantic,0.49999999,99.99999815,"0",14A2,0.49999999980,2.99999999940,-41.500,42.750
"211",15A2,43.00000,-42.00000,43.50000,-41.00000,"4511","1219",15A2,Oceanic Northeast Atlantic,0.49999999,99.99999825,"0",15A2,0.50000000070,3.00000000120,-41.500,43.250
"212",16A2,43.50000,-42.00000,44.00000,-41.00000,"4474","1300",16A2,Oceanic Northeast Atlantic,0.49999999,99.99999830,"0",16A2,0.49999999980,2.99999999940,-41.500,43.750
"213",17A2,44.00000,-42.00000,44.50000,-41.00000,"4437","1380",17A2,Oceanic Northeast Atlantic,0.49999999,99.99999835,"0",17A2,0.49999999980,2.99999999940,-41.500,44.250
"214",18A2,44.50000,-42.00000,45.00000,-41.00000,"4400","1458",18A2,Oceanic Northeast Atlantic,0.49999999,99.99999840,"0",18A2,0.49999999980,2.99999999940,-41.500,44.750
"215",19A2,45.00000,-42.00000,45.50000,-41.00000,"4362","1533",19A2,Oceanic Northeast Atlantic,0.49999999,99.99999845,"0",19A2,0.49999999980,2.99999999940,-41.500,45.250
"216",20A2,45.50000,-42.00000,46.00000,-41.00000,"4324","1609",20A2,Oceanic Northeast Atlantic,0.49999999,99.99999850,"0",20A2,0.49999999980,2.99999999940,-41.500,45.750
"217",21A2,46.00000,-42.00000,46.50000,-41.00000,"4286","1677",21A2,Oceanic Northeast Atlantic,0.49999999,99.99999855,"0",21A2,0.49999999980,2.99999999940,-41.500,46.250
"218",22A2,46.50000,-42.00000,47.00000,-41.00000,"4247","1740",22A2,Oceanic Northeast Atlantic,0.49999999,99.99999860,"0",22A2,0.49999999980,2.99999999940,-41.500,46.750
"219",23A2,47.00000,-42.00000,47.50000,-41.00000,"4208","1801",23A2,Oceanic Northeast Atlantic,0.49999999,99.99999865,"0",23A2,0.49999999980,2.99999999940,-41.500,47.250
"220",24A2,47.50000,-42.00000,48.00000,-41.00000,"4169","1858",24A2,Oceanic Northeast Atlantic,0.49999999,99.99999870,"0",24A2,0.50000000070,3.00000000120,-41.500,47.750
"221",25A2,48.00000,-42.00000,48.50000,-41.00000,"4129","1915",25A2,Oceanic Northeast Atlantic,0.49999999,99.99999875,"0",25A2,0.49999999980,2.99999999940,-41.500,48.250
"222",26A2,48.50000,-42.00000,49.00000,-41.00000,"4089","1981",26A2,Oceanic Northeast Atlantic,0.49999999,99.99999880,"0",26A2,0.49999999980,2.99999999940,-41.500,48.750
"223",27A2,49.00000,-42.00000,49.50000,-41.00000,"4048","2031",27A2,Oceanic Northeast Atlantic,0.49999999,99.99999885,"0",27A2,0.49999999980,2.99999999940,-41.500,49.250
"224",28A2,49.50000,-42.00000,50.00000,-41.00000,"4008","2084",28A2,Oceanic Northeast Atlantic,0.49999999,99.99999890,"0",28A2,0.49999999980,2.99999999940,-41.500,49.750
"225",29A2,50.00000,-42.00000,50.50000,-41.00000,"3967","2137",29A2,Oceanic Northeast Atlantic,0.49999999,99.99999895,"0",29A2,0.49999999980,2.99999999940,-41.500,50.250
"226",30A2,50.50000,-42.00000,51.00000,-41.00000,"3925","2188",30A2,Oceanic Northeast Atlantic,0.50000000,99.99999900,"0",30A2,0.49999999980,2.99999999940,-41.500,50.750
"227",31A2,51.00000,-42.00000,51.50000,-41.00000,"3884","2240",31A2,Oceanic Northeast Atlantic,0.50000000,99.99999905,"0",31A2,0.49999999980,2.99999999940,-41.500,51.250
"228",32A2,51.50000,-42.00000,52.00000,-41.00000,"3842","2292",32A2,Oceanic Northeast Atlantic,0.50000000,99.99999910,"0",32A2,0.49999999980,2.99999999940,-41.500,51.750
"229",33A2,52.00000,-42.00000,52.50000,-41.00000,"3800","2346",33A2,Oceanic Northeast Atlantic,0.50000000,99.99999915,"0",33A2,0.50000000070,3.00000000120,-41.500,52.250
"230",34A2,52.50000,-42.00000,53.00000,-41.00000,"3757","2401",34A2,Oceanic Northeast Atlantic,0.50000000,99.99999920,"0",34A2,0.49999999980,2.99999999940,-41.500,52.750
"231",35A2,53.00000,-42.00000,53.50000,-41.00000,"3714","2460",35A2,Oceanic Northeast Atlantic,0.50000000,99.99999925,"0",35A2,0.49999999980,2.99999999940,-41.500,53.250
"232",36A2,53.50000,-42.00000,54.00000,-41.00000,"3671","2522",36A2,Oceanic Northeast Atlantic,0.50000000,99.99999930,"0",36A2,0.49999999980,2.99999999940,-41.500,53.750
"233",37A2,54.00000,-42.00000,54.50000,-41.00000,"3628","2592",37A2,Oceanic Northeast Atlantic,0.50000000,99.99999935,"0",37A2,0.49999999980,2.99999999940,-41.500,54.250
"234",38A2,54.50000,-42.00000,55.00000,-41.00000,"3584","2663",38A2,Oceanic Northeast Atlantic,0.50000000,99.99999940,"0",38A2,0.49999999980,2.99999999940,-41.500,54.750
"235",39A2,55.00000,-42.00000,55.50000,-41.00000,"3540","2734",39A2,Oceanic Northeast Atlantic,0.50000000,99.99999945,"0",39A2,0.49999999980,2.99999999940,-41.500,55.250
"236",40A2,55.50000,-42.00000,56.00000,-41.00000,"3496","2805",40A2,Oceanic Northeast Atlantic,0.50000000,99.99999950,"0",40A2,0.49999999980,2.99999999940,-41.500,55.750
"237",41A2,56.00000,-42.00000,56.50000,-41.00000,"3451","2881",41A2,Oceanic Northeast Atlantic,0.50000000,99.99999955,"0",41A2,0.49999999980,2.99999999940,-41.500,56.250
"238",42A2,56.50000,-42.00000,57.00000,-41.00000,"3406","2960",42A2,Greenland Sea,0.34246060,68.49212026,"0",42A2,0.50000000070,3.00000000120,-41.500,56.750
"239",43A2,57.00000,-42.00000,57.50000,-41.00000,"3361","3038",43A2,Greenland Sea,0.50000000,100.00000000,"0",43A2,0.49999999980,2.99999999940,-41.500,57.250
"240",44A2,57.50000,-42.00000,58.00000,-41.00000,"3316","3117",44A2,Greenland Sea,0.50000000,100.00000000,"0",44A2,0.49999999980,2.99999999940,-41.500,57.750
"241",45A2,58.00000,-42.00000,58.50000,-41.00000,"3270","3195",45A2,Greenland Sea,0.50000000,100.00000000,"0",45A2,0.49999999980,2.99999999940,-41.500,58.250
"242",46A2,58.50000,-42.00000,59.00000,-41.00000,"3224","3272",46A2,Greenland Sea,0.50000000,100.00000000,"0",46A2,0.49999999980,2.99999999940,-41.500,58.750
"243",47A2,59.00000,-42.00000,59.50000,-41.00000,"3178","3352",47A2,Greenland Sea,0.50000000,100.00000000,"0",47A2,0.49999999980,2.99999999940,-41.500,59.250
"244",48A2,59.50000,-42.00000,60.00000,-41.00000,"3132","3432",48A2,Greenland Sea,0.50000000,100.00000000,"0",48A2,0.49999999980,2.99999999940,-41.500,59.750
"245",49A2,60.00000,-42.00000,60.50000,-41.00000,"3085","3517",49A2,Greenland Sea,0.50000000,100.00000000,"0",49A2,0.49999999980,2.99999999940,-41.500,60.250
"246",50A2,60.50000,-42.00000,61.00000,-41.00000,"3038","3614",50A2,Greenland Sea,0.50000000,100.00000000,"0",50A2,0.49999999980,2.99999999940,-41.500,60.750
"247",51A2,61.00000,-42.00000,61.50000,-41.00000,"2991","3697",51A2,Greenland Sea,0.50000000,100.00000000,"0",51A2,0.50000000070,3.00000000120,-41.500,61.250
"248",52A2,61.50000,-42.00000,62.00000,-41.00000,"2944","3777",52A2,Greenland Sea,0.50000000,100.00000000,"0",52A2,0.49999999980,2.99999999940,-41.500,61.750
"249",53A2,62.00000,-42.00000,62.50000,-41.00000,"2896","3856",53A2,Greenland Sea,0.50000000,100.00000000,"0",53A2,0.49999999980,2.99999999940,-41.500,62.250
"250",54A2,62.50000,-42.00000,63.00000,-41.00000,"2848","3953",54A2,Greenland Sea,0.50000000,100.00000000,"0",54A2,0.49999999980,2.99999999940,-41.500,62.750
"251",55A2,63.00000,-42.00000,63.50000,-41.00000,"2800","4049",55A2,Greenland Sea,0.50000000,100.00000000,"0",55A2,0.49999999980,2.99999999940,-41.500,63.250
"252",56A2,63.50000,-42.00000,64.00000,-41.00000,"2752","4148",56A2,Greenland Sea,0.50000000,100.00000000,"0",56A2,0.49999999980,2.99999999940,-41.500,63.750
"253",57A2,64.00000,-42.00000,64.50000,-41.00000,"2703","4245",57A2,Greenland Sea,0.50000000,100.00000000,"0",57A2,0.49999999980,2.99999999940,-41.500,64.250
"254",58A2,64.50000,-42.00000,65.00000,-41.00000,"2654","4343",58A2,Greenland Sea,0.50000000,100.00000000,"0",58A2,0.49999999980,2.99999999940,-41.500,64.750
"255",59A2,65.00000,-42.00000,65.50000,-41.00000,"2605","4443",59A2,Greenland Sea,0.50000000,100.00000000,"0",59A2,0.49999999980,2.99999999940,-41.500,65.250
"295",01A3,36.00000,-41.00000,36.50000,-40.00000,"4987","2",01A3,Oceanic Northeast Atlantic,0.49999998,99.99999671,"0",01A3,0.49999999980,2.99999999940,-40.500,36.250
"296",02A3,36.50000,-41.00000,37.00000,-40.00000,"4955","95",02A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",02A3,0.49999999980,2.99999999940,-40.500,36.750
"297",03A3,37.00000,-41.00000,37.50000,-40.00000,"4923","184",03A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",03A3,0.49999999980,2.99999999940,-40.500,37.250
"298",04A3,37.50000,-41.00000,38.00000,-40.00000,"4891","270",04A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",04A3,0.49999999980,2.99999999940,-40.500,37.750
"299",05A3,38.00000,-41.00000,38.50000,-40.00000,"4858","359",05A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",05A3,0.49999999980,2.99999999940,-40.500,38.250
