Mean_IncOxy,Mean_LowOxy,Oxygen_Exposure,Swim_Speed,SE_speed
4.242587601,4.226415094,4.233793063,0.20859375,0.041852679
6.448113208,4.240566038,6.394938714,0.1265625,0.023915816
8.683962264,4.226415094,8.446443327,0.18515625,0.025410555
10.6509434,4.183962264,9.853191709,0.249609375,0.026905293
12.68867925,4.240566038,11.00522311,0.32578125,0.032884247
16.74393531,4.388140162,13.12738505,0.343359375,0.035873724
19.81671159,4.291105121,14.09376906,0.37265625,0.047831633
