study,oxygen,oxygen_unit,oxygen_mLL,temperature_C,salinity_ppt,activity,activity_unit,SE_activity,SE_rel_activity,response_activity,ingestion,ingestion_unit,SE_ingestion,SE_rel_ingestion,response_ingestion,fce,fce_unit,SE_fce,SE_rel_fce,response_fce,nTreatment,species,age_class
Johansen2006,19.09677419,kpa,6.21227,10,30,0.665753425,BL_s,0.046302768,0.069549425,1,,,,,,,,,,,8,Gadus_morhua,juvenile
Johansen2006,15.09677419,kpa,4.91105,10,30,0.615525114,BL_s,0.046302768,0.075224823,0.924554183,,,,,,,,,,,8,Gadus_morhua,juvenile
Johansen2006,11.67741935,kpa,3.79872,10,30,0.561872146,BL_s,0.053000652,0.09432867,0.843964334,,,,,,,,,,,8,Gadus_morhua,juvenile
Johansen2006,8.967741935,kpa,2.91725,10,30,0.516210046,BL_s,0.052127015,0.100980241,0.775377229,,,,,,,,,,,8,Gadus_morhua,juvenile
Johansen2006,6.903225806,kpa,2.24565,10,30,0.461415525,BL_s,0.041352157,0.089620212,0.693072702,,,,,,,,,,,8,Gadus_morhua,juvenile
Johansen2006,5.419354839,kpa,1.76294,10,30,0.386073059,BL_s,0.02329699,0.060343475,0.579903977,,,,,,,,,,,8,Gadus_morhua,juvenile
Koedijk2012,100.5,percent_sat,6.44439,12,34,,,,,,2302,total_consumption,33.9411255,0.01474419,1,0.94,biomassgain_unitweight,0.06363961,0.067701713,1,6,Gadus_morhua,juvenile
Koedijk2012,82.7,percent_sat,5.30299,12,34,,,,,,2100,total_consumption,113.7027704,0.054144176,0.912250217,0.94,biomassgain_unitweight,0.035355339,0.037612063,1,6,Gadus_morhua,juvenile
Koedijk2012,57,percent_sat,3.65503,12,34,,,,,,1684,total_consumption,24.67802666,0.01465441,0.731537793,0.85,biomassgain_unitweight,0.06363961,0.074870129,0.904255319,6,Gadus_morhua,juvenile
Petersen2010,20,kpa,6.34309,10,34,1.5,U_crit,0.04,0.026666667,0.993377483,,,,,,,,,,,20,Gadus_morhua,adult
Petersen2010,20,kpa,6.34309,10,34,1.51,U_crit,0.07,0.046357616,1,,,,,,,,,,,20,Gadus_morhua,adult
Petersen2010,8.5,kpa,2.69581,10,34,1.02,U_crit,0.03,0.029411765,0.675496689,,,,,,,,,,,20,Gadus_morhua,adult
Petersen2010,8.5,kpa,2.69581,10,34,1.02,U_crit,0.05,0.049019608,0.675496689,,,,,,,,,,,20,Gadus_morhua,adult
Schurmann1994,100,percent_sat,7.50721,5,30,128,distance_m,16.79378605,0.131201454,1,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,80,percent_sat,6.00577,5,30,118,distance_m,13.87697058,0.117601446,0.686046512,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,70,percent_sat,5.25505,5,30,124,distance_m,15.11440745,0.121890383,0.704545455,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,60,percent_sat,4.50433,5,30,128,distance_m,15.55634919,0.121533978,0.727272727,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,50,percent_sat,3.7536,5,30,117,distance_m,12.9930871,0.111052026,0.664772727,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,40,percent_sat,3.00288,5,30,100,distance_m,7.247844507,0.072478445,0.568181818,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,30,percent_sat,2.25216,5,30,97,distance_m,11.40209685,0.11754739,0.551136364,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,25,percent_sat,1.8768,5,30,78,distance_m,10.34143667,0.132582521,0.443181818,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,20,percent_sat,1.50144,5,30,67,distance_m,7.778174593,0.116092158,0.380681818,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,15,percent_sat,1.12608,5,30,60,distance_m,4.242640687,0.070710678,0.340909091,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,100,percent_sat,6.81854,10,30,172,distance_m,14.58407736,0.084791147,0.977272727,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,80,percent_sat,5.45483,10,30,176,distance_m,15.82151423,0.089894967,1,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,70,percent_sat,4.77298,10,30,160,distance_m,11.93242693,0.074577668,0.909090909,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,60,percent_sat,4.09112,10,30,162,distance_m,13.34664049,0.08238667,0.920454545,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,50,percent_sat,3.40927,10,30,148,distance_m,14.67246571,0.099138282,0.840909091,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,40,percent_sat,2.72741,10,30,125,distance_m,12.72792206,0.101823376,0.710227273,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,30,percent_sat,2.04556,10,30,97,distance_m,12.46275702,0.128482031,0.551136364,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,25,percent_sat,1.70463,10,30,87,distance_m,8.573669722,0.098547928,0.494318182,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,20,percent_sat,1.36371,10,30,65,distance_m,6.894291117,0.106066017,0.369318182,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,15,percent_sat,1.02278,10,30,49,distance_m,4.949747468,0.101015254,0.278409091,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,100,percent_sat,6.23599,15,30,126,distance_m,12.10920363,0.096104791,1,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,80,percent_sat,4.98879,15,30,118,distance_m,13.25825215,0.112358069,0.936507937,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,70,percent_sat,4.36519,15,30,107,distance_m,16.08667927,0.150342797,0.849206349,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,60,percent_sat,3.7416,15,30,119,distance_m,13.61180554,0.114384921,0.944444444,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,50,percent_sat,3.118,15,30,115,distance_m,11.40209685,0.099148668,0.912698413,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,40,percent_sat,2.4944,15,30,114,distance_m,7.51300955,0.065903593,0.904761905,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,30,percent_sat,1.8708,15,30,92,distance_m,9.545941546,0.103760234,0.73015873,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,25,percent_sat,1.559,15,30,88,distance_m,8.396893027,0.095419239,0.698412698,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,20,percent_sat,1.2472,15,30,54,distance_m,6.717514421,0.124398415,0.428571429,,,,,,,,,,,8,Gadus_morhua,juvenile
Schurmann1994,15,percent_sat,0.9354,15,30,48,distance_m,5.568465902,0.116009706,0.380952381,,,,,,,,,,,8,Gadus_morhua,juvenile
Skjæraasen2008,100,percent_sat,7.30922,5,34,0.349201278,BL_s,0.014996414,0.0429449,1,,,,,,,,,,,12,Gadus_morhua,juvenile
Skjæraasen2008,20,percent_sat,1.46184,5,34,0.227795527,BL_s,0.010432288,0.04579672,0.652333028,,,,,,,,,,,12,Gadus_morhua,juvenile
Skjæraasen2008,28.34693878,percent_sat,2.07194,5,34,0.193290735,BL_s,0.00978027,0.050598752,0.553522416,,,,,,,,,,,12,Gadus_morhua,juvenile
Skjæraasen2008,34.28571429,percent_sat,2.50602,5,34,0.24057508,BL_s,0.009128252,0.037943464,0.688929552,,,,,,,,,,,12,Gadus_morhua,juvenile
Skjæraasen2008,40.87755102,percent_sat,2.98783,5,34,0.241853035,BL_s,0.010432288,0.043134824,0.692589204,,,,,,,,,,,12,Gadus_morhua,juvenile
Skjæraasen2008,46.7755102,percent_sat,3.41893,5,34,0.259744409,BL_s,0.011736324,0.045184126,0.743824337,,,,,,,,,,,12,Gadus_morhua,juvenile
Skjæraasen2008,60.65306122,percent_sat,4.43327,5,34,0.24057508,BL_s,0.009454261,0.039298588,0.688929552,,,,,,,,,,,12,Gadus_morhua,juvenile
